id,source,target,panel,interaction,edge_type,evidence_level,overlap_count,overlap_genes,contrast,logFC,p_value,bh_by_contrast,provenance,evidence_boundary
A_CT_118,A_CMP_MOL003404,A_TGT_CDK2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_119,A_CMP_MOL003404,A_TGT_CDK4,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_120,A_CMP_MOL003404,A_TGT_GSK3B,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_121,A_CMP_MOL003404,A_TGT_PTGS2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_122,A_CMP_MOL003404,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_123,A_CMP_MOL005043,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_124,A_CMP_MOL005043,A_TGT_CDK4,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_125,A_CMP_MOL005043,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_126,A_CMP_MOL005043,A_TGT_HIF1A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_127,A_CMP_MOL005043,A_TGT_PTPN11,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_128,A_CMP_MOL005043,A_TGT_SIGMAR1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_129,A_CMP_MOL005043,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_130,A_CMP_MOL005043,A_TGT_TOP2A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_131,A_CMP_MOL005195,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_132,A_CMP_MOL005195,A_TGT_CA2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_133,A_CMP_MOL005195,A_TGT_CDK2,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_134,A_CMP_MOL005195,A_TGT_HIF1A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_135,A_CMP_MOL005195,A_TGT_KIT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_136,A_CMP_MOL005195,A_TGT_SYK,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_137,A_CMP_MOL005195,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_138,A_CMP_MOL005440,A_TGT_ACHE,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_139,A_CMP_MOL005440,A_TGT_CDK4,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_140,A_CMP_MOL005440,A_TGT_CDK6,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_141,A_CMP_MOL005440,A_TGT_HIF1A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_142,A_CMP_MOL005440,A_TGT_PTPN11,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_143,A_CMP_MOL005440,A_TGT_SIGMAR1,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_144,A_CMP_MOL005440,A_TGT_TERT,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
A_CT_145,A_CMP_MOL005440,A_TGT_TOP2A,A,resource-reported compound-candidate association,A_Compound-target,resource association,,,,,,,"Legacy resource table, relation retained exactly.",Resource association only; not binding or causal regulation.
